DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,UNSTRIPPEDDIAGNOSISCODE,PARENTDIAGNOSISCODE
F0283,"Dem in other dis classd elswhr, unsp sev, with mood distrb",F02.83,F028
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
F0150,"Vascular dementia, unsp severity, without beh/psych/mood/anx",F01.50,F015
G311,"Senile degeneration of brain, not elsewhere classified",G31.1,G31
F0393,"Unsp dementia, unspecified severity, with mood disturb",F03.93,F039
J42,Unspecified chronic bronchitis,J42,
G319,"Degenerative disease of nervous system, unspecified",G31.9,G31
F01C0,"Vascular dementia, severe, without beh/psych/mood/anx",F01.C0,F01C
F0153,"Vascular dementia, unspecified severity, with mood disturb",F01.53,F015
F02818,"Dem in oth dis classd elswhr, unsp sev, with oth beh distrb",F02.818,F0281
F03B11,"Unspecified dementia, moderate, with agitation",F03.B11,F03B1
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
G319,"Degenerative disease of nervous system, unspecified",G31.9,G31
G3101,Pick's disease,G31.01,G310
J328,Other chronic sinusitis,J32.8,J32
I119,Hypertensive heart disease without heart failure,I11.9,I11
G20C,"Parkinsonism, unspecified",G20.C,G20
J439,"Emphysema, unspecified",J43.9,J43
G20A2,"Parkinson's disease without dyskinesia, with fluctuations",G20.A2,G20A
F05,Delirium due to known physiological condition,F05,
I69351,Hemiplga following cerebral infrc aff right dominant side,I69.351,I6935
J159,Unspecified bacterial pneumonia,J15.9,J15
I69322,Dysarthria following cerebral infarction,I69.322,I6932
U071,COVID-19,U07.1,U07
I10,Essential (primary) hypertension,I10,
I69051,Hemiplga fol ntrm subarach hemor aff right dominant side,I69.051,I6905
G311,"Senile degeneration of brain, not elsewhere classified",G31.1,G31
F03B3,"Unspecified dementia, moderate, with mood disturbance",F03.B3,F03B
J329,"Chronic sinusitis, unspecified",J32.9,J32
J339,"Nasal polyp, unspecified",J33.9,J33
J111,Flu due to unidentified influenza virus w oth resp manifest,J11.1,J11
G20B1,"Parkinson's dis with dyskinesia, w/o mention of fluctuations",G20.B1,G20B
G9332,Myalgic encephalomyelitis/chronic fatigue syndrome,G93.32,G933
F03C0,"Unspecified dementia, severe, without beh/psych/mood/anx",F03.C0,F03C
F0154,"Vascular dementia, unspecified severity, with anxiety",F01.54,F015
B3731,Acute candidiasis of vulva and vagina,B37.31,B373
F03911,"Unspecified dementia, unspecified severity, with agitation",F03.911,F0391
G3184,Mild cognitive impairment of uncertain or unknown etiology,G31.84,G318
F0283,"Dem in other dis classd elswhr, unsp sev, with mood distrb",F02.83,F028
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
J40,"Bronchitis, not specified as acute or chronic",J40,
F0280,"Dem in oth dis classd elswhr,unsp sev,w/o beh/psych/mood/anx",F02.80,F028
J40,"Bronchitis, not specified as acute or chronic",J40,
F02A0,"Dem in other dis classd elswhr, mild, w/o beh/psych/mood/anx",F02.A0,F02A
N429,"Disorder of prostate, unspecified",N42.9,N42
F0284,"Dem in other dis classd elswhr, unsp severity, with anxiety",F02.84,F028
C50112,Malignant neoplasm of central portion of left female breast,C50.112,C5011
C50012,"Malignant neoplasm of nipple and areola, left female breast",C50.012,C5001
F01A0,"Vascular dementia, mild, without beh/psych/mood/anx",F01.A0,F01A
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
I110,Hypertensive heart disease with heart failure,I11.0,I11
I69359,Hemiplga following cerebral infarction affecting unsp side,I69.359,I6935
F0280,"Dem in oth dis classd elswhr,unsp sev,w/o beh/psych/mood/anx",F02.80,F028
I4710,"Supraventricular tachycardia, unspecified",I47.10,I471
I1310,"Hyp hrt & chr kdny dis w/o hrt fail, w stg 1-4/unsp chr kdny",I13.10,I131
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
G3101,Pick's disease,G31.01,G310
I130,Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp chr kdny,I13.0,I13
F01C11,"Vascular dementia, severe, with agitation",F01.C11,F01C1
W57XXXA,"Bit/stung by nonvenom insect & oth nonvenom arthropods, init",W57.XXXA,W57
T22251D,"Burn of second degree of right shoulder, subs encntr",T22.251D,T22251
J988,Other specified respiratory disorders,J98.8,J98
F03C3,"Unspecified dementia, severe, with mood disturbance",F03.C3,F03C
W57XXXA,"Bit/stung by nonvenom insect & oth nonvenom arthropods, init",W57.XXXA,W57
I6203,Nontraumatic chronic subdural hemorrhage,I62.03,I620
G20A1,"Parkinson's dis w/o dyskinesia, w/o mention of fluctuations",G20.A1,G20A
G3109,Other frontotemporal neurocognitive disorder,G31.09,G310
I639,"Cerebral infarction, unspecified",I63.9,I63
C50011,"Malignant neoplasm of nipple and areola, right female breast",C50.011,C5001
I639,"Cerebral infarction, unspecified",I63.9,I63
I69354,Hemiplga following cerebral infrc affecting left nondom side,I69.354,I6935
I609,"Nontraumatic subarachnoid hemorrhage, unspecified",I60.9,I60
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
I639,"Cerebral infarction, unspecified",I63.9,I63
J40,"Bronchitis, not specified as acute or chronic",J40,
G3184,Mild cognitive impairment of uncertain or unknown etiology,G31.84,G318
J310,Chronic rhinitis,J31.0,J31
I872,Venous insufficiency (chronic) (peripheral),I87.2,I87
I129,Hypertensive chronic kidney disease w stg 1-4/unsp chr kdny,I12.9,I12
F0390,"Unsp dementia, unsp severity, without beh/psych/mood/anx",F03.90,F039
G309,"Alzheimer's disease, unspecified",G30.9,G30
J42,Unspecified chronic bronchitis,J42,
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
F01518,"Vascular dementia, unsp severity, with other beh disturb",F01.518,F0151
I69959,Hemiplga following unsp cerebvasc disease aff unsp side,I69.959,I6995
E119,Type 2 diabetes mellitus without complications,E11.9,E11
G301,Alzheimer's disease with late onset,G30.1,G30
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
F02818,"Dem in oth dis classd elswhr, unsp sev, with oth beh distrb",F02.818,F0281
F03C11,"Unspecified dementia, severe, with agitation",F03.C11,F03C1
J189,"Pneumonia, unspecified organism",J18.9,J18
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
F0153,"Vascular dementia, unspecified severity, with mood disturb",F01.53,F015
Z125,Encounter for screening for malignant neoplasm of prostate,Z12.5,Z12
I7120,"Thoracic aortic aneurysm, without rupture, unspecified",I71.20,I712
N401,Benign prostatic hyperplasia with lower urinary tract symp,N40.1,N40
J14,Pneumonia due to Hemophilus influenzae,J14,
J189,"Pneumonia, unspecified organism",J18.9,J18
C61,Malignant neoplasm of prostate,C61,
K5190,"Ulcerative colitis, unspecified, without complications",K51.90,K519
C5011,"Malignant neoplasm of central portion of breast, female",C50.11,C501
F321,"Major depressive disorder, single episode, moderate",F32.1,F32
J4540,"Moderate persistent asthma, uncomplicated",J45.40,J454
J9611,Chronic respiratory failure with hypoxia,J96.11,J961
J8489,Other specified interstitial pulmonary diseases,J84.89,J848
Z00129,Encntr for routine child health exam w/o abnormal findings,Z00.129,Z0012
J9611,Chronic respiratory failure with hypoxia,J96.11,J961
K0500,"Acute gingivitis, plaque induced",K05.00,K050
S83422A,"Sprain of lateral collateral ligament of left knee, init",S83.422A,S83422
M2042,"Other hammer toe(s) (acquired), left foot",M20.42,M204
F01C18,"Vascular dementia, severe, with other behavioral disturbance",F01.C18,F01C1
S42212D,"Unsp disp fx of surg nk of l humer, subs for fx w routn heal",S42.212D,S42212
J988,Other specified respiratory disorders,J98.8,J98
J988,Other specified respiratory disorders,J98.8,J98
S72141D,"Displ intertroch fx r femur, subs for clos fx w routn heal",S72.141D,S72141
J988,Other specified respiratory disorders,J98.8,J98
J988,Other specified respiratory disorders,J98.8,J98
J988,Other specified respiratory disorders,J98.8,J98
J988,Other specified respiratory disorders,J98.8,J98
J988,Other specified respiratory disorders,J98.8,J98
S51812D,"Laceration without foreign body of left forearm, subs encntr",S51.812D,S51812
B9562,Methicillin resis staph infct causing diseases classd elswhr,B95.62,B956
B9562,Methicillin resis staph infct causing diseases classd elswhr,B95.62,B956
J988,Other specified respiratory disorders,J98.8,J98
J988,Other specified respiratory disorders,J98.8,J98
J988,Other specified respiratory disorders,J98.8,J98
J988,Other specified respiratory disorders,J98.8,J98
Z66,Do not resuscitate,Z66,
L89892,"Pressure ulcer of other site, stage 2",L89.892,L8989
W57XXXA,"Bit/stung by nonvenom insect & oth nonvenom arthropods, init",W57.XXXA,W57
L97821,Non-prs chr ulcer oth prt l low leg limited to brkdwn skin,L97.821,L9782
S025XXA,"Fracture of tooth (traumatic), init for clos fx",S02.5XXA,S025
F03C18,"Unspecified dementia, severe, with other behavioral disturb",F03.C18,F03C1
N1830,"Chronic kidney disease, stage 3 unspecified",N18.30,N183
N185,"Chronic kidney disease, stage 5",N18.5,N18
F01511,"Vascular dementia, unspecified severity, with agitation",F01.511,F0151
C50111,Malignant neoplasm of central portion of right female breast,C50.111,C5011
C50919,Malignant neoplasm of unsp site of unspecified female breast,C50.919,C5091
N400,Benign prostatic hyperplasia without lower urinry tract symp,N40.0,N40
I6339,Cerebral infarction due to thrombosis of oth cerebral artery,I63.39,I633
F01C11,"Vascular dementia, severe, with agitation",F01.C11,F01C1
E1122,Type 2 diabetes mellitus w diabetic chronic kidney disease,E11.22,E112
E1165,Type 2 diabetes mellitus with hyperglycemia,E11.65,E116
G3109,Other frontotemporal neurocognitive disorder,G31.09,G310
F200,Paranoid schizophrenia,F20.0,F20
L298,Other pruritus,L29.8,L29
E66813,"Obesity, class 3",E66.813,E6681
G3184,Mild cognitive impairment of uncertain or unknown etiology,G31.84,G318
N952,Postmenopausal atrophic vaginitis,N95.2,N95
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
L2981,Cholestatic pruritus,L29.81,L298
C61,Malignant neoplasm of prostate,C61,
I69919,Unsp symp and signs w cogn fnctns fol unsp cerebvasc disease,I69.919,I6991
G929,Unspecified toxic encephalopathy,G92.9,G92
J339,"Nasal polyp, unspecified",J33.9,J33
I679,"Cerebrovascular disease, unspecified",I67.9,I67
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
F03B18,"Unsp dementia, moderate, with other behavioral disturb",F03.B18,F03B1
G3109,Other frontotemporal neurocognitive disorder,G31.09,G310
F01511,"Vascular dementia, unspecified severity, with agitation",F01.511,F0151
N189,"Chronic kidney disease, unspecified",N18.9,N18
G470,Insomnia,G47.0,G47
J4489,Other specified chronic obstructive pulmonary disease,J44.89,J448
L700,Acne vulgaris,L70.0,L70
L97821,Non-prs chr ulcer oth prt l low leg limited to brkdwn skin,L97.821,L9782
F01C18,"Vascular dementia, severe, with other behavioral disturbance",F01.C18,F01C1
F3340,"Major depressive disorder, recurrent, in remission, unsp",F33.40,F334
B9562,Methicillin resis staph infct causing diseases classd elswhr,B95.62,B956
M2041,"Other hammer toe(s) (acquired), right foot",M20.41,M204
E1121,Type 2 diabetes mellitus with diabetic nephropathy,E11.21,E112
M51369,"Oth intvrt disc degen, lum rgn w/o lum bck or lw extrm pain",M51.369,M5136
F0152,"Vascular dementia, unsp severity, with psychotic disturb",F01.52,F015
F0283,"Dem in other dis classd elswhr, unsp sev, with mood distrb",F02.83,F028
E1169,Type 2 diabetes mellitus with other specified complication,E11.69,E116
F01C0,"Vascular dementia, severe, without beh/psych/mood/anx",F01.C0,F01C
N898,Other specified noninflammatory disorders of vagina,N89.8,N89
F0154,"Vascular dementia, unspecified severity, with anxiety",F01.54,F015
J14,Pneumonia due to Hemophilus influenzae,J14,
N814,"Uterovaginal prolapse, unspecified",N81.4,N81
B3731,Acute candidiasis of vulva and vagina,B37.31,B373
F0150,"Vascular dementia, unsp severity, without beh/psych/mood/anx",F01.50,F015
F5221,Male erectile disorder,F52.21,F522
I25119,Athscl heart disease of native cor art w unsp ang pctrs,I25.119,I2511
D75839,"Thrombocytosis, unspecified",D75.839,D7583
M3500,"Sjogren syndrome, unspecified",M35.00,M350
Z09,Encntr for f/u exam aft trtmt for cond oth than malig neoplm,Z09,
M40209,"Unspecified kyphosis, site unspecified",M40.209,M4020
M5451,Vertebrogenic low back pain,M54.51,M545
I2584,Coronary atherosclerosis due to calcified coronary lesion,I25.84,I258
I420,Dilated cardiomyopathy,I42.0,I42
I350,Nonrheumatic aortic (valve) stenosis,I35.0,I35
I340,Nonrheumatic mitral (valve) insufficiency,I34.0,I34
I4460,Unspecified fascicular block,I44.60,I446
I442,"Atrioventricular block, complete",I44.2,I44
I5022,Chronic systolic (congestive) heart failure,I50.22,I502
I5042,Chronic combined systolic and diastolic hrt fail,I50.42,I504
J329,"Chronic sinusitis, unspecified",J32.9,J32
I255,Ischemic cardiomyopathy,I25.5,I25
F840,Autistic disorder,F84.0,F84
I219,"Acute myocardial infarction, unspecified",I21.9,I21
I214,Non-ST elevation (NSTEMI) myocardial infarction,I21.4,I21
F32A,"Depression, unspecified",F32.A,F32
R053,Chronic cough,R05.3,R05
I2510,Athscl heart disease of native coronary artery w/o ang pctrs,I25.10,I251
U099,"Post COVID-19 condition, unspecified",U09.9,U09
I4430,Unspecified atrioventricular block,I44.30,I443
I359,"Nonrheumatic aortic valve disorder, unspecified",I35.9,I35
I480,Paroxysmal atrial fibrillation,I48.0,I48
I5033,Acute on chronic diastolic (congestive) heart failure,I50.33,I503
I4820,"Chronic atrial fibrillation, unspecified",I48.20,I482
I5030,Unspecified diastolic (congestive) heart failure,I50.30,I503
I5032,Chronic diastolic (congestive) heart failure,I50.32,I503
I509,"Heart failure, unspecified",I50.9,I50
I517,Cardiomegaly,I51.7,I51
I4891,Unspecified atrial fibrillation,I48.91,I489
J40,"Bronchitis, not specified as acute or chronic",J40,
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
J339,"Nasal polyp, unspecified",J33.9,J33
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
J42,Unspecified chronic bronchitis,J42,
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb,F02.80,F028
I639,"Cerebral infarction, unspecified",I63.9,I63
R059,"Cough, unspecified",R05.9,R05
R051,Acute cough,R05.1,R05
M5450,"Low back pain, unspecified",M54.50,M545
I25110,Athscl heart disease of native cor art w unstable ang pctrs,I25.110,I2511
R058,Other specified cough,R05.8,R05
I25118,Athscl heart disease of native cor art w oth ang pctrs,I25.118,I2511
I259,"Chronic ischemic heart disease, unspecified",I25.9,I25
F849,"Pervasive developmental disorder, unspecified",F84.9,F84
Z9189,"Oth personal risk factors, not elsewhere classified",Z91.89,Z918
Z8619,Personal history of other infectious and parasitic diseases,Z86.19,Z861
Z0289,Encounter for other administrative examinations,Z02.89,Z028
Z8616,Personal history of COVID-19,Z86.16,Z861
Z20822,Contact with and (suspected) exposure to COVID-19,Z20.822,Z2082
Z1331,Encounter for screening for depression,Z13.31,Z133
Z1339,Encntr screen exam for other mental hlth and behavrl disord,Z13.39,Z133
I341,Nonrheumatic mitral (valve) prolapse,I34.1,I34
I493,Ventricular premature depolarization,I49.3,I49
I4892,Unspecified atrial flutter,I48.92,I489
I4581,Long QT syndrome,I45.81,I458
I479,"Paroxysmal tachycardia, unspecified",I47.9,I47
I499,"Cardiac arrhythmia, unspecified",I49.9,I49
I421,Obstructive hypertrophic cardiomyopathy,I42.1,I42
I498,Other specified cardiac arrhythmias,I49.8,I49
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
J439,"Emphysema, unspecified",J43.9,J43
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
J9811,Atelectasis,J98.11,J981
G929,Unspecified toxic encephalopathy,G92.9,G92
N939,"Abnormal uterine and vaginal bleeding, unspecified",N93.9,N93
C50112,Malignant neoplasm of central portion of left female breast,C50.112,C5011
J8403,Idiopathic pulmonary hemosiderosis,J84.03,J840
Z5320,Proc/trtmt not crd out bec pt decision for unsp reasons,Z53.20,Z532
Z8673,"Prsnl hx of TIA (TIA), and cereb infrc w/o resid deficits",Z86.73,Z867
Z13820,Encounter for screening for osteoporosis,Z13.820,Z1382
I2584,Coronary atherosclerosis due to calcified coronary lesion,I25.84,I258
E7489,Other specified disorders of carbohydrate metabolism,E74.89,E748
R7401,Elevation of levels of liver transaminase levels,R74.01,R740
R519,"Headache, unspecified",R51.9,R51
C50011,"Malignant neoplasm of nipple and areola, right female breast",C50.011,C5001
N814,"Uterovaginal prolapse, unspecified",N81.4,N81
Z7389,Other problems related to life management difficulty,Z73.89,Z738
Z8709,Personal history of other diseases of the respiratory system,Z87.09,Z870
Z049,Encounter for examination and observation for unsp reason,Z04.9,Z04
Z716,Tobacco abuse counseling,Z71.6,Z71
B961,Klebsiella pneumoniae as the cause of diseases classd elswhr,B96.1,B96
Z87820,Personal history of traumatic brain injury,Z87.820,Z8782
Z8551,Personal history of malignant neoplasm of bladder,Z85.51,Z855
N1831,"Chronic kidney disease, stage 3a",N18.31,N183
Z0120,Encounter for dental exam and cleaning w/o abnormal findings,Z01.20,Z012
Z7401,Bed confinement status,Z74.01,Z740
H9391,Unspecified disorder of right ear,H93.91,H939
J9811,Atelectasis,J98.11,J981
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
Z7409,Other reduced mobility,Z74.09,Z740
N898,Other specified noninflammatory disorders of vagina,N89.8,N89
N400,Benign prostatic hyperplasia without lower urinry tract symp,N40.0,N40
Z13818,Encounter for screening for other digestive system disorders,Z13.818,Z1381
Z1389,Encounter for screening for other disorder,Z13.89,Z138
H259,Unspecified age-related cataract,H25.9,H25
W19XXXA,"Unspecified fall, initial encounter",W19.XXXA,W19
Z978,Presence of other specified devices,Z97.8,Z97
Z760,Encounter for issue of repeat prescription,Z76.0,Z76
N1830,"Chronic kidney disease, stage 3 unspecified",N18.30,N183
J40,"Bronchitis, not specified as acute or chronic",J40,
G47429,Narcolepsy in conditions classified elsewhere w/o cataplexy,G47.429,G4742
C50912,Malignant neoplasm of unspecified site of left female breast,C50.912,C5091
Z125,Encounter for screening for malignant neoplasm of prostate,Z12.5,Z12
Z933,Colostomy status,Z93.3,Z93
K2100,"Gastro-esophageal reflux dis with esophagitis, without bleed",K21.00,K210
Z191,Hormone sensitive malignancy status,Z19.1,Z19
Z8719,Personal history of other diseases of the digestive system,Z87.19,Z871
Z111,Encounter for screening for respiratory tuberculosis,Z11.1,Z11
Z8679,Personal history of other diseases of the circulatory system,Z86.79,Z867
N08,Glomerular disorders in diseases classified elsewhere,N08,
Z029,"Encounter for administrative examinations, unspecified",Z02.9,Z02
H547,Unspecified visual loss,H54.7,H54
Z720,Tobacco use,Z72.0,Z72
Z7189,Other specified counseling,Z71.89,Z718
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
J329,"Chronic sinusitis, unspecified",J32.9,J32
W19XXXD,"Unspecified fall, subsequent encounter",W19.XXXD,W19
Z8781,Personal history of (healed) traumatic fracture,Z87.81,Z878
Z8739,Personal history of diseases of the ms sys and conn tiss,Z87.39,Z873
Z87442,Personal history of urinary calculi,Z87.442,Z8744
W19XXXS,"Unspecified fall, sequela",W19.XXXS,W19
Z9621,Cochlear implant status,Z96.21,Z962
Z98890,Other specified postprocedural states,Z98.890,Z9889
Z23,Encounter for immunization,Z23,
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
I2510,Athscl heart disease of native coronary artery w/o ang pctrs,I25.10,I251
B9689,Oth bacterial agents as the cause of diseases classd elswhr,B96.89,B968
N401,Benign prostatic hyperplasia with lower urinary tract symp,N40.1,N40
N952,Postmenopausal atrophic vaginitis,N95.2,N95
H3530,Unspecified macular degeneration,H35.30,H353
Z951,Presence of aortocoronary bypass graft,Z95.1,Z95
Z125,Encounter for screening for malignant neoplasm of prostate,Z12.5,Z12
Z432,Encounter for attention to ileostomy,Z43.2,Z43
Z48812,Encntr for surgical aftcr following surgery on the circ sys,Z48.812,Z4881
Z48814,Encntr for surg aftcr fol surg on the teeth or oral cavity,Z48.814,Z4881
H814,Vertigo of central origin,H81.4,H81
Z794,Long term (current) use of insulin,Z79.4,Z79
Z79891,Long term (current) use of opiate analgesic,Z79.891,Z7989
J40,"Bronchitis, not specified as acute or chronic",J40,
J439,"Emphysema, unspecified",J43.9,J43
I639,"Cerebral infarction, unspecified",I63.9,I63
J441,Chronic obstructive pulmonary disease w (acute) exacerbation,J44.1,J44
J4520,"Mild intermittent asthma, uncomplicated",J45.20,J452
J42,Unspecified chronic bronchitis,J42,
Z7901,Long term (current) use of anticoagulants,Z79.01,Z790
H814,Vertigo of central origin,H81.4,H81
Z7901,Long term (current) use of anticoagulants,Z79.01,Z790
J339,"Nasal polyp, unspecified",J33.9,J33
Z794,Long term (current) use of insulin,Z79.4,Z79
Z48812,Encntr for surgical aftcr following surgery on the circ sys,Z48.812,Z4881
Z48814,Encntr for surg aftcr fol surg on the teeth or oral cavity,Z48.814,Z4881
Z5181,Encounter for therapeutic drug level monitoring,Z51.81,Z518
J45909,"Unspecified asthma, uncomplicated",J45.909,J4590
J9811,Atelectasis,J98.11,J981
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,I63.50,I635
Z125,Encounter for screening for malignant neoplasm of prostate,Z12.5,Z12
Z9011,Acquired absence of right breast and nipple,Z90.11,Z901
Z432,Encounter for attention to ileostomy,Z43.2,Z43
Z79899,Other long term (current) drug therapy,Z79.899,Z7989
J3802,"Paralysis of vocal cords and larynx, bilateral",J38.02,J380
J449,"Chronic obstructive pulmonary disease, unspecified",J44.9,J44
J339,"Nasal polyp, unspecified",J33.9,J33
Z20828,Contact w and exposure to oth viral communicable diseases,Z20.828,Z2082
Z86711,Personal history of pulmonary embolism,Z86.711,Z8671
S30810A,"Abrasion of lower back and pelvis, initial encounter",S30.810A,S30810
K635,Polyp of colon,K63.5,K63
J90,"Pleural effusion, not elsewhere classified",J90,
M329,"Systemic lupus erythematosus, unspecified",M32.9,M32
T22251A,"Burn of second degree of right shoulder, initial encounter",T22.251A,T22251
S0531XD,"Ocular lac w/o prolaps/loss of intraoc tissue, r eye, subs",S05.31XD,S0531
C92Z0,Other myeloid leukemia not having achieved remission,C92.Z0,C92Z
S51011D,"Laceration without foreign body of right elbow, subs encntr",S51.011D,S51011
Z0000,Encntr for general adult medical exam w/o abnormal findings,Z00.00,Z000
J329,"Chronic sinusitis, unspecified",J32.9,J32
F0280,Dementia in oth diseases classd elswhr w/o behavrl disturb,F02.80,F028
J069,"Acute upper respiratory infection, unspecified",J06.9,J06
S0100XS,"Unspecified open wound of scalp, sequela",S01.00XS,S0100
M7989,Other specified soft tissue disorders,M79.89,M798
Z5181,Encounter for therapeutic drug level monitoring,Z51.81,Z518
Z794,Long term (current) use of insulin,Z79.4,Z79
I2510,Athscl heart disease of native coronary artery w/o ang pctrs,I25.10,I251
L508,Other urticaria,L50.8,L50
K2900,Acute gastritis without bleeding,K29.00,K290
R855,Abn microbiolog findings in specmn from dgstv org/abd cav,R85.5,R85
S51811D,"Laceration w/o foreign body of right forearm, subs encntr",S51.811D,S51811
K5730,Dvrtclos of lg int w/o perforation or abscess w/o bleeding,K57.30,K573
H6691,"Otitis media, unspecified, right ear",H66.91,H669
I82409,Acute embolism and thombos unsp deep vn unsp lower extremity,I82.409,I8240
S0000XA,"Unspecified superficial injury of scalp, initial encounter",S00.00XA,S0000
R2242,"Localized swelling, mass and lump, left lower limb",R22.42,R224
S61411D,"Laceration without foreign body of right hand, subs encntr",S61.411D,S61411
I69354,Hemiplga following cerebral infrc affecting left nondom side,I69.354,I6935
S60221A,"Contusion of right hand, initial encounter",S60.221A,S60221
Z85038,Personal history of malignant neoplasm of large intestine,Z85.038,Z8503
L0101,Non-bullous impetigo,L01.01,L010
F330,"Major depressive disorder, recurrent, mild",F33.0,F33
M4800,"Spinal stenosis, site unspecified",M48.00,M480
E2740,Unspecified adrenocortical insufficiency,E27.40,E274
G319,"Degenerative disease of nervous system, unspecified",G31.9,G31
